phoebe,your knuckles are kinda hairy too
joey,man have get those done too
phoebe,wow talking about high maintenance
joey,hey hey you dye your hair
phoebe,woman
joey,arghhh double standards
phoebe,before forget are you coming mikes piano bar tonight
monica,only dont have get and sing
phoebe,but everybody sings its much fun last time this adorable old man got out there forgot all the words flipped out
monica,its just not good singing
phoebe,whats the matter are you scared youre afraid better singer youre afraid gon beat you singing
monica,its not working wow must growing
ross,yeah and then figured after you win could all out the balcony and see night rainbow with gremlins dancing top
chandler,hystericaldont touch the phone ill get ill get ill get picks the phone
ross,monicathink washed his hands
chandler,into receiverhello hey charlie what you know
rachel,monicawhats going
monica,chandler supposed find out hes getting assistent job his agency but out the interns they are only hiring three
joey,ooh tough odds
ross,mockinglyyeah only were sure thing like your state lottery
joey,smilinglook whos coming around
chandler,still the phonedamnit alright call when you know more
joey,exciteddid you get
ross,youre really not coming back
chandler,yeah have all this paperwork that needs filed the end the year dont get done ill fired
monica,its unfair you dont even like your job
chandler,who does
phoebe,like job
joey,love job
rachel,yeah cant wait back work
ross,cant get enough dinosaurs
chandler,sorry wont here
monica,its just its hard enough not seeing you during the week but for christmas alright this what you have understand
chandler,thanks they kiss ill see you new years day
monica,shocked youre not gon here new years eve
chandler,will explain her
monica,yeah like going let you talk the queen
joey,wow the parade really good this yearman those horses can crap looks sideways the disgust
chandler,muskogee thats like four hours from tulsa woo hoo
joey,god
chandler,arent you one the stars popular daytime soap days our lives
joey,yeah forgot supposed there cant believe forgot usually write stuff like this down arm
joey,stupid long sleeves
chandler,what are you going
joey,sighs guess going come with really good reason why wasnt there the producer going mad mehe sat all down yesterday and said everyone has there six sharp that means you tribbiani shrugs like was some kind idiot
chandler,well you proved them wrong
ross,but you your much better off you just from guy guy having fun and never worrying that terns into anything serious
phoebe,wouldnt say never you know theres that guy pause well what about pause well theres got someone
ross,there isnt thats what saying all happy
phoebe,god youre right
ross,know and yet here you are all ready for the next date
phoebe,cant believe never realized this before thirtys and never been longterm relationship god starts crying whats wrong with
ross,theres nothing wrong with you mean you dont strike the type person that wants get married anyway
phoebe,wan get married grabs tissue
ross,please dont cry because pheebs dont know what talking about ive been divorced three times
phoebe,least youve been married god wan trade lives with ross cries more
phoebe,nothing excited about our date mike this ross geller this mike haaaaa starts crying
phoebe,yeah
monica,you know how much love listening your music you know but
phoebe,but what
monica,this kind classy place
phoebe,pause say more
phoebe,with fancy dress still playing and singing wasnt just that she was fat the woman smelled like garbage everyone wasnt just that she was fat the woman smelled like garbaaaaaage monica showing her dress classy
chandler,clearly not interested awesome
monica,and the people are nice theres this one guy geoffrey hes the maitre chandler you will love him without doubt the funniest guy have ever met chandler who was almost asleep again sits straight bed instant and cant believe what just heard
phoebe,know phoebe picks little packet sugar shakes and then realises she cant open with one hand but doesnt want let mikes hand she tries tear open the packet with one hand
phoebe,yeah kinda mike lets her hand well hows this she takes mikes hand and puts her breast she tears open the sugar and puts her coffee mike thinks over and nods appreciative after that they hold hands again joey now enters and sees the two sitting the couch holding hands
joey,very aaaaahhhhh sweeeeeet voice aaahhh look you two holding hands huh this getting serious phoebe and mike embarrassed start babbling and look away have you not talked about yet they say nothing now but smile making you uncomfortable smiles are becoming forced now and speaks mike you were bigger youd hit huh aaaaaahhhhhh turns away the bar
phoebe,sorry sorry its obviously way too early for having that conversation
phoebe,flash she answers maybe not
phoebe,impatient know mike why dont you keep digging
rachel,pheebs would make reservation for five because one has stay home and watch emma ross which one should dinner
phoebe,rachel
ross,actually was thinking maybe both could
phoebe,yay
ross,thanks put lot extra thoughts your gift
phoebe,alright okay can all now that fun hey you know what all havent been together the six such long time
monica,what are you talking about were all together right now
rachel,mon chandlers not here
monica,dear god
chandler,good morning everyone its nice see our team together for the first time now before get started are there any questions colleague raises hand yes ken
chandler,laughs well dont believe everything you hear ken both turning away files but yeah thats true alright lets get started take look last quarters figures the female next chandler starts smoking towards heross claudia arent you supposed blow smoke the bosses ass
chandler,nonono smoked for years then quit right now cant remember why everyone youre not allowed smoke this office not right
monica,really thats what you want
phoebe,that was test and you just failed
monica,damn rookie mistake
ross,yelling chandler have sex with dinosaurs
chandler,believe read that somewhere
ross,that only not funny its physically impossible depending the species have have six foot long pause its not funny
chandler,respectfully disagree
ross,cant believe you put that alumni page
chandler,who cares nobody reads those things
ross,youd better hope not because just read what you put your page today
chandler,dont have page
ross,you know where joey
rachel,really dont looks around again
ross,can talk you for minute
rachel,yeah sure looks outside into the corridor joey there
joey,dont believe this have you guys been
phoebe,shhh this the listening side the wall
ross,and then she told that she and joey had broken and that part the reason was that she had feelings for
rachel,clearly not listening and still trying find out where joey went uhhuh right yeah
ross,and you know wanted ask charlie out since the day met her
rachel,still searching know know its been really hard for you
ross,anyway one thing lead another and before you know were kissing mean how angry you think joey gon
chandler,iii know youre right wan see you too ive just got figure out way tell joey hes really looking forward this
monica,phone tell him you havent seen your wife long time apartment tell him that having longdistance relationship really difficult tell him thatwhat little time that have precious
chandler,yeah yeah yeah ill think something
ross,wow you lookerhmi mean its just theerthat that dress
rachel,hope the ends these sentences are good
ross,notheyre good its just been long since ive seen you like this you clean good
rachel,ahh looks down well thank you haha ross continues stare rachel okay stop looking like that the last time that happened pointing towards rosss crotch that happened pointing emma
ross,right looking away
ross,are you are you excited about yourerfirst night away from emma
rachel,yeah phoebe and are gon have much fun thank you for watching the baby the way
monica,two thousand dollars
joey,two thousand dollars what you think soap oprea star
monica,yeah
joey,thats right opens drawer and rummages through rachel enters
rachel,you guys
joey,oowhats the bag
rachel,erwell you know emma started crawling realised that this place very unsafe for baby went the store and got some stuff babyproof the apartment
joey,ohbabyproofingwhy this such big deal now yknowwhen was kid was like whoops joey fell down the stairs whoops joey electrocuted himself again huh
monica,anyway ermare you going get handyman install this stuff
rachel,was just going this myself joey makes sarcastic laugh
joey,youre gon
ross,guys this fun isnt you know just the four just hangin
joey,dude are you okay and when are the fajitas gon ready
ross,fine hey great just just proud theres weirdness tension
rachel,awareness
ross,make great foursome should more stuff together ooh lets take trip okay where you think can
ross,fajitas
rachel,look charlie just want you know ross just having little trouble adjusting the thought joey and you know normally doesnt drink like this
ross,fajitas careful very hot plate very hot plate
rachel,ross you dont even have oven mitts
ross,that gon hurt tomorrow
phoebe,okay well this crazy cant seriously talking about taking one your kids can
ross,damn
joey,entering the room hey
rachel,hey
joey,whats happenin
rachel,yeah its real shame you cant make that onewoman show tonight
joey,love but got get early the next day and you know work comes first
rachel,yeah yeah yeah she plays the answering machine
joey,yelling stupid jane rogers
rachel,angry you are having party tonight
joey,kinda have thing for the days our lifes people
rachel,pheebs thats for men
phoebe,know this way when the party later mike will know over him cause gon smell like another guy the shop assistant yeah
phoebe,good dating russian cab driver the shop assistant seriously does anyone buy this smell like beets
rachel,melanie griffith working girl think what you want over here
rachel,really
rachel,cant because iive seen them
rachel,yeah big fan the movies you know motion pictures the talkies
phoebe,picks dress hey rach will you come with dressing room
rachel,sure
rachel,you know that depends what ive done lot stuff
joey,need talk you about charlie
ross,annoyed you you really
joey,yeah kind having little problem
ross,look you dont know what the word acrimonious means just dont use
joey,look you know charlie right shes cool shes funny her body soo
ross,get the problem
joey,yes its just that shes much smarter than all the girls ive ever dated combined dont want her think stupid
ross,looking down are you wearing two belts
joey,checking what you know
ross,you were saying you didnt want seem stupid
joey,right right right well she wants all this cultural places and dont know how talk about that stuff you got help out
phoebe,wellkinda
monica,god
phoebe,yeah well america youre just ass
monica,into the phone hello chandler whats wrong she listens god are you alright listens some more yeah ill right there she hangs and speaks amanda sorry but chandler was car accident she gets
phoebe,also gets and starts taking her purse god was mike with him
monica,nope she turns and leaves
joey,rachel hey
rachel,hey got champagne
joey,yes maam ready power through
rachel,excellent stick the ice bucket the phone off the hook and the interest powering through starts remove her bra from under her clothes
joey,when shes done she throws her bra him
rachel,starts light some candles sexy sexy very sexy sexy claps her hands and jumps joey clearly very excited alright lets
joey,she sure does why does she have pink bow taped her head
rachel,well because one more person says what cute little boy gon whip them with car antenna
ross,think shes gon the hit the office huh shes gon hotter than peasant blouses and aline skirts can get blue bow
monica,flipping through bunch folders chandler enters from bathroom okay have looked through bunch career guides photocopied and highlighted key passages and put them into alphabetical folders you can make informed decision
chandler,how long was there
monica,okay let start with the advertising
chandler,wait advertising thats great idea
monica,dont you want look through the rest
chandler,dont think have hear the rest advertising makes perfect sense sorry you had waste all this time though
monica,you call eight hours alone with label maker wasted time ooh now get use shredder
ross,dude its just days our lives theres the
joey,thinking hes kidding ross its its fun yeah play doctor drake ramoray
joey,you dont own whats all your furniture pointed
monica,david can you help trying explain chandler how plane stays the air
monica,chandler see
chandler,yeah thats the same has something with wind
monica,alright gon pick few things for the trip
phoebe,should too now tomorrow you guys wan share cab the airport should mike and just meet you there
phoebe,mike whos mike
phoebe,thats right yeah well ive totally forgotten about thatsthats blast from the past
phoebe,really doesnt mean anything mean you know monica refers chandler richard all the time
chandler,upset she does
rachel,well when first met you know thought you were pompous and arrogant and obnoxious
rachel,just mean that you know first impression dont mean anything and think you are really good guy and sorry that misjudge you
rachel,hey turning around place her documents
rachel,you know what hey new day new leave just really really happyshe turned around see gaving looking heathers buttim sorry obviously heathers ass has something more important say will just wait till its finish
rachel,was giving you apology and you were totally checking her out
rachel,you are really really creep
rachel,why you even care was looking her are you jealous
rachel,yeah sarcastic jealous gavin please please look ass
rachel,stop looking ass
rachel,mean just think you are totally inappropriate this working environment she your subordinate
phoebe,fine please come and support mike you dont have sing
monica,dont have sing and can just sit there and pass judgments others
phoebe,while drinking
monica,there
rachel,guys listen really need your help think did something really stupid
phoebe,well yes rachel but you got something beautiful out there
rachel,not that kissed gavin last night
phoebe,god
monica,you kissed him
rachel,yeah was after the party were the balcony and
monica,wait wait wait was home the whole time how did missed that
chandler,one the slots got filled
joey,still excitedby you
chandler,sense the tone that kid nate got
monica,hate that guy mean come kid pull your pants
chandler,yeah know
rachel,well theres two spots left right
chandler,yeahi mean want this much mean wan get one want friend charlie get oneexcept dont care about charlie
phoebe,excitedhey you guys youre not going believe this just saw psychic and she said was definitely gon win the lottery tonight
monica,hey that reminds thought could use some extra luck brought wishbone home from work
ross,mockinglya psychic and wishbone guys give someone else chance
monica,alright who wants
phoebe,can vegetarians never get the wishbone its really not fair either you know just because dont eat the meat doesnt mean dont like play with the carcasses
chandler,did not mention that
chandler,thinks for second then waves his arms exclaiming and all good night and runs out the apartment
chandler,all right everybody know that its christmas eve and youd rather with your familys but theres call takes off for writing screw you bing the back chair looks the way you can all call chandler
chandler,hey whereve you been
chandler,the others you hear that you may not with your familys but least its gon smell like ham here
chandler,yknow what know what will cheer you guys starts spreading envelopes among them had little talk with the boys new york told about all the hard work youve been doing and that little christmas bonus may order
chandler,well thats like money your pocket alright look you want say this sucks being here sucks this work sucks
joey,yeah
rachel,emmathis your first thanksgivingwhat are you thankful for mommys boobies
ross,alot people are thankful for those
rachel,who
rachel,hide rings
rachel,hey amy happy thanksgiving
rachel,ermhi opens arms wide embrace
rachel,havent seen you like year
rachel,ohme too ermi had baby
rachel,ohyeah well unless you pushed desk your vagina not the same thing
ross,sorry didnt catch
ross,ross geller
phoebe,huh terns ross how look all her make has gone everywhere
ross,you have compact your purse
phoebe,goes cry
ross,you look great
monica,hey joey
joey,hey this girl wont turn around and cant tell whether shes hot not what you think
monica,joey not going objectify woman with you looks the woman but her face nice her ass woah mamma
joey,alright thanks hey have you talked chandler
monica,yeah has stay tulsa this weekend
joey,how come
chandler,chandler bing have reservation
chandler,new york
ross,strange voice and eating candies the big apple
chandler,sorry hes little bit wound had stop every maple candy stand the way here
ross,yeah ate all gifts for everybody
chandler,well thats impossible can you check again please
ross,high pitched voice check again please
ross,not there
chandler,let get this straight called yesterday trying cancel reservation and was told was not refundable then drove six hours all the way here and now you tell that dont have reservation
ross,mumbling she doesnt know what say
phoebe,its key honest think prefer the five dollars
phoebe,really surprised wow ooh ooh big step for phoebe and mike
phoebe,want
phoebe,yeah ooh wow even started think never meet someone that you know wanted this with here you both phoebe and mike look really proud
phoebe,really
joey,sitting his table know amazing these little things open doors huh mimes opening door with his own keys phoebe looks him yeah yeah yeah way
rachel,dont back work for another four weeks but would like our nanny start right away that emma could get chance know her
rachel,thats great great you have any questions for
rachel,allright well thank you much for coming theyre standing and make their way the door
chandler,alright lolook dont smoke anymore but the rest you want light ahead its fine everyone lits you all smoke then thats almost rude that not
chandler,loud ken please cant cant smoke smoke wife would kill
chandler,always liked you ken takes cig
phoebe,from outside trick treat its obviously halloween eve the night her birthday dinner
monica,opening the door hey
phoebe,ooh and treat monicas breasts
monica,hmhmm ties
phoebe,wow glad changed almost weared outfit that cant contain breasts
monica,this not what wearing ovulating and chandlers gon home any minute thought would try before dinner
phoebe,ohh wait jis you guys wont late for dinner will you
monica,believe chandler and have not seen each other over week well probably the first ones there
ross,respectfully disagree
joey,look you all sweet and innocent sleeping like angel with emmas chubby little hands wrapped around picks hugsy its okay emma you stay asleep emma cries
rachel,threatening joey with scrunchy step away from the crib have weapon
joey,its okay its okay rach its put down the scrunchy
rachel,what are you doing
joey,well heard emma stirring came make sure she could reach hugsy
rachel,thanks alright well now that going the bathroom
joey,placing hugsy back the crib there you sweetie emma this isnt over
monica,alright wait second why would ross tell everyone your class that you are reads from the screen gay the day long
chandler,because told everyone slept with dinosaurs
monica,but thats clearly joke this could easily true phone rings
chandler,would you get that please people have been calling congratulate all day
monica,the phone hello hes not here yeah this his wife yeah well came quite shock too guess should have known yeah mean just kept making watch moulin rouge
rachel,now looking the ceiling that hard say ross that hard say
ross,you know got find him hes got here someplace
rachel,you would think
rachel,joey
joey,gone
rachel,still cant find him how are you doing this
joey,pssst
rachel,how wha hey what are you what this have you guys been listening this entire time
phoebe,now what this
rachel,what this well lets see kissed for ten minutes and now were talking our friends about guess this sixth grade
ross,its fine actually invited mike over
rachel,phoebes mike
ross,yeah
rachel,didnt know that you guys hung out
ross,dont but thought that would nice get know him you know have little dinner drinks conversation
rachel,awww thats cute ross and mikes first date beat that going awkward what are you guys gon talk about
ross,well but you know have lot common you know ermhe plays the piano played keyboards college hes been divorced havesomeexperience that area
rachel,yeah
phoebe,ooh youre first night out indeed
rachel,okay now think emma properly down for the night but you need anything rosspointing finger into his chest
ross,rach rach rach well fine you have fun
rachel,yeahwhy you dont think woman can this
joey,ohwomen can youcant
rachel,monicawould you please tell joey that pig
monica,youre pig and you cant this
rachel,wha what come found the hardware store all myself
joey,the hardware store right down the street
rachel,there hardware store right down the street
phoebe,hey you guys okweve got great news
phoebe,know its exciting you know ive never lived with guy before
monica,well you know its just like living with girl only they dont steal your makeup unlesstheyre playing this what sister would look likelooks chandler
chandler,yeahshes not cute
phoebe,insane
phoebe,alice would never for right
phoebe,well just you know for arguments sake you know hypothetically which one would you willing give
phoebe,frank jrjr
phoebe,uhhuh
phoebe,well alright thats fine what about leslie
phoebe,alright that leaves chandler
phoebe,wow frank think just ran out kids
phoebe,sorry frank didnt realise things were bad you know ill help out more can can babysit any time you want you name the day and ill there
rachel,and you werent going tell how did you think you were gon get away with that
joey,every year
rachel,you that every year
joey,didnt have tell you that stupider than jane rogers
rachel,thats why you got these tickets that play get rid
joey,yeah
rachel,and last year that why you sent that medieval times restaurant
joey,yeah
rachel,and the year before that when you set that nighttime tour that button factory
joey,smiling cant believe you guys went for that one
rachel,joey why wouldnt you invite your parties
joey,youre fine but everyone else acts like idiot around famous people
rachel,well then you just invite
phoebe,what were you doing out there you not like charlie
rachel,shes just dont get really good vibe from her
phoebe,why
rachel,dont know you know just the way she waltzed here all smart and tall you know and just swept joey off his feet mean nobody else has chance
phoebe,who else
rachel,anybody you you know monicas mom
phoebe,you like joey
rachel,shhhhh phoebe all right look have little thing for him
phoebe,whispering god
rachel,its just physical and have totally under control its just when see them together sometimes just get little jealous
phoebe,wow isnt ironic that liked you and now you like him
rachel,annoyed get
ross,you know really dont want get involved you guys relationship
joey,please cmon youre the smartest person know and really like this girl dont wan lose her
ross,after short hesitation fine
joey,thanks
ross,lets see you should take her the met
joey,the metsss
ross,the met the metropolitan museum art
joey,realizing thats what she meant pause you know theyre gon shorten they should call the muse you know short for museum and avoid all the confusion
ross,yeah most its place packed with confused angry baseball fans
joey,all right ill take her the met
ross,yeah theres this great rare bookstore madison avenue you know what she loves architecture you know what you should you should take walk down fifth the saint patricks cathedral and there theres this great little pastry shop that shed love
joey,geez sounds like you should going this date
ross,but not pause you know what youre the mood for thai food
joey,youre scaring little bit
rachel,get over soldier weve got this she pulls him towards her and throws him onto the barcalounger aha you like that huh
joey,yeah
rachel,you like that she climbs the barcalounger seductively putting her knees next joeys hips lets take this into high gear she pulls the barcalounger lever and seat reclines she puts one her knees between his legs and begins kiss his neck
rachel,yeah baby ill show you how
joey,you kneed misters
rachel,what god sorry joey are you
joey,just sits there legs very close together with painful look his face soldier down
monica,are not friends with phoebe anymore
chandler,she asks protested little but
phoebe,chandler thank god youre alive monica can talk you outside for minute
chandler,mean can write slogans mean how hard can right cheese its milk that you chew crackers because your cheese needs buddy grape because who can get water melon your mouth
monica,got one socks because your familys feet deserve the best
chandler,honey leave the pros
monica,actually know someone advertising grew with this guy who vice president big agency maybe can get him meet you give the phone
chandler,the phone bringing you closer peoplewho have phones
monica,marriage its not for everybody
rachel,that went well almost everybody knew that she was girl
ross,yeah after you punched that one guy who got wrong word spread
rachel,just gon office and pick some stuff the guy behind her desk who the hell are you
rachel,the hell person whose office this
ross,good one rach
rachel,excuse
phoebe,joey look nurse
monica,pinching her lets get you out here they outside
monica,least you took down with you
phoebe,sooo sorry just keep thinking about mike crazy about david and were having much fun together whywhy miss mike thatsthats gon away right
monica,guess time
phoebe,yeah
monica,mean feelings for richard are certainly gone
phoebe,you just did again chandler your feelings for chandler are certainly gone
chandler,wouldnt read too much into
chandler,david let stop you there cause think see where this going not very good giving advice you want advice ross monica joey the thing you wan advice about pizza toppings burning sensation when you pee
chandler,seriously were gon this
rachel,that totally different for two reasons one didnt know that you knew that and two wasnt some creep staring his ass had awe had deep meaningful relationship
rachel,wasstaring the air thinkingoh godhe didnthe didnt have last name was justjust tag you know like cher you knowmoses
rachel,turned around looking angry mumbling what are you his boyfriend
joey,man wish had nanny like you
joey,sure
monica,would you stop staring her
chandler,staring molly wasnt staring was leering
monica,whats the big deal with her maybe shes attractive obvious kind way
ross,yeah obvious beauty the worst you know when its right there your face like have work find someone attractive makes feel like earned
chandler,joey doing alright with her ross quickly turns see
phoebe,was the end the party you were probably ironing wrapping paper
monica,yeahso how did you end kissing
rachel,you know were all alone and was being really nice and and gave this scarf
monica,thought you hated him
rachel,you know honey there thin line between love and hate and turns out that lineis scarf
monica,are you thinking starting something with this guy
rachel,dont know its complicated work with this guy you know have the baby and have ross and justi dont
monica,sounds like you need think about what you want talk gavin and you definitely should talk ross
rachel,ori could call sick and not deal with all
phoebe,wow fivemonth maternity leave youre back for four days kiss coworker call sick they are lucky have you
joey,hey here for eyebrow appointment
joey,chandler bing
monica,hey rach
rachel,good dont wan get that turkey smell all over hands
joey,ill itll get the casserole stink off mine
phoebe,hope win
monica,well doesnt really matter youre both wishing for the same thing right
joey,cant tell you what wishing for elseyou knowwont come true
monica,right but know what youre wishing for
joey,cant really say
monica,understand but youre wishing for what think youre wishing for arent you
joey,slightly irritatedim not really comfortable with these questions
chandler,sorry hey least you guys get home and with your familys tonight have back empty hotel room and lay down very questionable bedspread and then tomorrow morning you get have christmas morning your own houses wich the way none you have invited
chandler,haha thanks
chandler,thanks actually thinking about becoming motivational speaker
chandler,typical christmasy stuff you know our holidays are pretty traditional
phoebe,here very special holiday song that wrote for some very important people
rachel,okay pheebs you look the kitchen will look the back closet
chandler,can save you time ladies right here
phoebe,yeah chandler why dont you take walk this doesnt concern you
rachel,erits emmaemphasizing emma
ross,hey amy
rachel,amy you remember ross
ross,that was rachel laughs her throat
ross,still
monica,careful careful careful
chandler,ill tell you what for the rest our lives ill careful until told otherwise
chandler,wait minute this isnt the china picked out
monica,know after you left the store chose different ones
chandler,why
monica,has work theres some rush the big pause thinks damn one these days really gon have start listening when talks about his job
joey,why dont you fly out there and surprise him
monica,maybe will thinks yea will have second honeymoon the tulsa romana
joey,and you know what you should bring the black seethrough teddy with the attached garters nods
monica,how you know have one those
joey,didnt till just now
joey,hot not hot she turns around hot
joey,said think youre hot and now embarrassed
joey,that wouldve been better ill try that joey
chandler,just give the cheapest room you have
chandler,thats insane
ross,totally insane dude lets drive home well hit all the maple candy stores the way back and ifif theyre closed maybe well tap tree and make some ourselves
chandler,does that room have closet can lock him pause well take
chandler,aside ross what they are totally ripping off
ross,dude dont worry bout know how can make your money back this nice hotel you know plenty amenities just load those like those apples instead taking one take six
chandler,great hundred dollars apple were there
ross,cmon you get the idea owowow well make our money back time
chandler,dude youre shaking
ross,think its the sugar could you hold the apple
ross,thank you
rachel,really nice meet you and well call you
ross,boy uhm hadnt really thought that
rachel,okidoki and she slams the door the nannys face while ross crumples the application form wow were never gon find nanny
ross,come rach will promise have more interviews they sit down and rachel sighs and worse comes worse can always reconsider the uhm the first one met with
rachel,indignant what the blonde with bra
ross,she was blonde looks surprised for while but then gets gotcha expression his face theres knocking the door just sec okay okay this ones name sandy shes got degree early childhood education uhm she worked for her last family for three years
rachel,okay ross opens the door
ross,and shes little mannish
phoebe,gasps god david
phoebe,kay see you there happy humping outside meeting chandler heyhey wow somebody smoked out here god dont people know youre not allowed smoke public spaces
chandler,actually oklahoma smoking legal all commune areas and offices with fewer than fifteen people
phoebe,you smoked
chandler,just happened tdo lot trivias about smoking different states for example hawaii cigarettes are called leyhallalookoos
phoebe,smells him chandler you stink cigarettes
chandler,uch you think monica gon able smell
phoebe,are you kidding the woman has the nose bloodhound and the breasts great goddess
chandler,pheebs
phoebe,embarrassed gon leaves stairs
chandler,getting okay something cover the smell oven cleaner sprays himself reads label unscented
monica,naughty doorway welcome home ive missed you join the bedroom
chandler,thanks good
chandler,hang hang and that was great movie monica hangs gon get back ross yeah this will show him here starts typing something
monica,what are you doing
chandler,youll see friend
ross,visibly upset dead
chandler,faking sympathy and young
ross,posting that died that really isnt funny
chandler,well how you died was funny
ross,please hit blimp
chandler,kills over one americans every year
ross,unbelievable classmates are gon think dead professors parents are gon get phone calls youre messing with peoples feelings here
chandler,you wan talk about peoples feelings you should have heard how hurt professor stern was yesterday when told him wouldnt able with him key west
ross,youve really crossed the line here but thats okay its cause way buy some photoshop software and stack gay porn thats right your coming out about get real graphic
phoebe,god wish mike were here
phoebe,have you thought about how complicated this could get what about ross
joey,well hes with charlie now
monica,yeah but wants talk you before anything really happens with her and his friend mean dont you think deserves the same from you
joey,long pause and twitches bit youre pain ass geller
rachel,all right look you guys look appreciate all the advice but this between joey and and think can handle
chandler,okay well well back there but will you one thing for the people that care about you
rachel,sure
chandler,enunciate
rachel,get out
rachel,are they right
rachel,okay you too and hope you score
rachel,bye mike
ross,welcome
ross,ive got bottled breast milk
ross,okay
ross,phoebe tells you play the piano
ross,you you know used play the keyboards college
ross,erm you know divorced phoebe said youve been divorced
phoebe,okwell you put down the toilet seat
monica,that bit you guys
phoebe,huhwere playing you two
monica,dont that tell her dont that
chandler,yes dear
ross,cant believe you guys are moving together thatsthats great meanim happy for you guys
monica,hear wedding bells
phoebe,monica slow down just excited living with him you know meani dont knowcan see someday being married mike sure yeahyou knowi can picture myself walking down the aisle wedding dress that highlights breasts obvious yet classy way but want that house connecticutyou knownear the good schools where mike and can send sophie and mike junior god
ross,phoebei had idea you were conventional
phoebe,know guess god load the volvo want soccer mom
phoebe,yeah you bet roomy
monica,dont you meangroomy
phoebe,well thats not good but you know can move some stuff around and ill there you and alice just take the whole day together
phoebe,are you kidding thats what sisters are for
chandler,where are bill and colleen
monica,theyre the kitchen getting something eat can you believe how nice they are
chandler,have leave
monica,why what did you the bathroom
chandler,didnt get the bathroom bumped into owen the way and didnt know was adopted and theres slight chance may have told him
monica,god wheres purse you know what can replace everything there get that binder and lets
chandler,but kids are intuitive dont you think some level already knows
joey,speaking aloud please was trying nice youre the worst one
rachel,joey come please please let come will behave promise will behave please please please
joey,fine you can come but dont tell anybody else its the roof
rachel,yelling and jumping like child soap opera roof party going soap opera roof party god god realizing how shes behaving and its out system
ross,very bored tries avoid the conversation speaking charlie where did you get your undergraduate degree
ross,charlie its not over
ross,basically all nuts
ross,ive lost the will live
ross,what
phoebe,well long under control you know you cant anything about hes already dating her and she nice person that wouldnt right
rachel,know know just not big deal
phoebe,yeah
rachel,can keep this between
phoebe,sure
rachel,great because got get out here the smell beets killing
phoebe,any chance charlie has deaf twin
monica,honey
chandler,hey look brought friend for dinner this zack from work
monica,course its nice see you again zack
joey,whoa whoa whoa slow down you way too fast just back the met
joey,you got tell exactly what there
ross,when you walk the museum take the right thats the antiquities wing ancient egypt mesopotamia the byzantine empire
joey,whoa whoa whoa whoa whoa walk the door and make the right and bends his arm the left ross then bends joeys arm the right and joey nods
chandler,have weird feeling about this place pause how know that they are not gon secretly videotape and put all over the internet
monica,because honey mean this the sweetest way possible nobody gon wan watch that
chandler,deposit specimen you know usually have call number for that kind talk thanks got
monica,hey honey test down the hall are you sure youre going
chandler,yeah guess
monica,know this embarrassing but nobody cares one here even knows you
monica,have nothing say you
phoebe,please monica the hall
chandler,well arent you treat
monica,cant believe you tried cut out why phoebe why
phoebe,was right after were living together and you were driving crazy okay you were really controlling and compulsive and shrill
monica,still all those things
phoebe,youre also generous and kind and scrappy
monica,starts smiling scrappy
phoebe,exactly look matter what tried couldnt keep you out life all the people have cut out you were the only one who ever clawed her way back
monica,its because scrappy
joey,yes you are think may time for sponge bath sorry just used hitting the extras are you excited about your scene
phoebe,yeah but little shaky and nervous
joey,relax dont youll fine youll fine theyll probably just make you stand the back
phoebe,okay now what
phoebe,sorry sorry sorry just little nervous
phoebe,okay that helps
joey,hey you know what dont worry pheebs usually takes three takes too off the directors look alright eight
chandler,but let show you what can bagels and donuts round food for every mood
chandler,because his penis was too big notices that david not amused sorry thats the kind thing pause they broke because mike didnt want get married hey what you just let phoebe know youd open marriage
chandler,what
chandler,didnt mean now
chandler,well youre welcome glad could help
chandler,david pretending read here
joey,yeah how you doin yeah alright
joey,hey hey you said youre gon wear thong wheres the thong
joey,you really should have been more clear about that
ross,hey
joey,hey
ross,excited youre never going guess who just saw downstairs
monica,yeah hey thats was nice see you guys back off and let joey get the girl for once
ross,will home right after work bye emmaemmaema lovedadylove you ross kisses emma
monica,they would like talk you about the babytalk waving her fingerits not good
ross,hey listen joey about molly would really prefer you didnt after her
joey,why not
ross,because its took months find good nanny and wouldnt want anything you know drive her away
joey,what you think just gon sleep with her and never call her again and things are gon get uncomfortable expression changed from confused enlightened yeah that sounds about right
ross,come there are plenty women out there justjust forget about herok shes off limits
joey,owww manwhy you had and said that for now that you told cant have her makes want her even more
joey,thanks
joey,thanks you get lot guys here
joey,good
joey,all right lets just this
joey,please have extremely high thresholdholly mother god face face all right all right
chandler,hey its the most eligible man hows the moving going
ross,not well went the subway again and someone did sit hand but that person was neither female nor wearing pants
chandler,well maybe youre going about this the wrong way you know mean think about single white male divorced three times
ross,thats funnydo you think youll ever work again
phoebe,one two three
joey,won hey
ross,you know what sure your wish gon come true but you guys just case maybe genie will come out rub this lamp rubs lamp stops because its very hot that thing gets hot
rachel,you know ross just keep making your jokes how are you gon feel actually win
ross,youre not gon win
rachel,know know the odds are against but somebody has win and could and then how you gon feel you know were gon all like everybody lets take our helicopters the cape and youre gon all like cant guys ill meet you guys there got gas the hyundai
ross,ive heard myself tape and sound nothing like that
chandler,can see the headline now lottery winners friend filled with regret eats own arm
ross,why would eat own arm
chandler,well you wouldnt but own the paper can print whatever want
monica,you know what ross gon throw bucks for you
ross,why
rachel,are looking for our christmas presents from monica
chandler,what thats terrible
phoebe,nono every year
