person,dialogue
joey,ross ill show
rachel,well monica suppose one special tickets win gon feel win lottery lose friends
monica,please win lottery guys gon leave someone gave basket minimuffins last week couldnt get rid days
rachel,chandler would tell wrong
chandler,mon shes right shouldnt bought tickets
chandler,dad ever dress like santa
chandler,okaaay kiss
chandler,know everybody home familys bad enough working new years eve
chandler,good gods speed good people starts close door turns around sees wendy youre gon
chandler,thanks
chandler,phone rings answers chandler bing
monica,honey want wish merry christmas
monica,yeah godim moved
rachel,amy see alot closer monica chandler see everyday truthfully honey dont seem connected baby
chandler,know guys got say means much youd trust childi mean know monica trying baby ive doubts skills father butthat twothat two
monica,okits time dinner ermeveryone using fancy china erm expensiveso pleaaase careful
ross,whoawhoalaughs almost drops plate catches expression turns serious whoa
monica,erjust clear comedy plates wellreceived monica pinches ross arm ross flinches
joey,hey come plate less fancy everyone elses trust fancy plate
monica,honey thatsthats special plate see game whoever gets plate wins
rachel,monica ross sister
rachel,basically youve slept woman new york youre going around
joey,well thats even weird part dont think remembered sleeping
monica,dont remember sleeping
joey,yeah remember sleeping memorable guys know
rachel,know never slept
joey,whos fault
monica,whats big deal forgot forgot maybe night
joey,hey never night although sometimes little bloated dont feel sexy even better
monica,honey dont let ask
rachel,yeah slutty dont even remember youve slept youre made
joey,interesting right ill try get past reaches chips salt bloaty
monica,joey joey
monica,ohphoebe maybe wasnt clear really love listening music restaurant sort upscale place
phoebe,right yeah ill ask butler fetch diamonds vault
monica,phoebe wear sort songs dont think play restaurant anymore
phoebe,fine ill ill take hat back puts hat bag crushes angrily floor foot
rachel,hey guys funniest thing happened work
phoebe,songs arent good enough restaurant
rachel,still
monica,didnt say songs good enough
phoebe,whats wrong would tiny portions pretentious food
monica,tiny portions
phoebe,yeah well excuse ordered smoked salmon appetizer peering spectacles cant see cant see
rachel,hes smart hes qualified give one good reason shouldnt try
ross,weird
ross,kind job man nanny iits like woman wanted
rachel,shes got yeah try say look face yes
ross,king
rachel,whispering begging please ross makes whatever gesture yes sandy youre hired
rachel,oooh really cant hear says come
ross,got least
chandler,hey joey doesnt look gestures wait minute finger finishes reading article chandler waits joey finish need set joke later monica around need ask fire trucks
chandler,might well graps cigs lights one exhales really sure
monica,well ill tell gon already late phoebes birthday dinner point put cigarette gon put fight hold sex
chandler,fine
monica,sex last day ovulating dont well wait till next month walks towards bedroom
chandler,serious follows
monica,yeah
chandler,right fine ill talking
monica,huh cuddling
chandler,kissing neck
monica,good hate
phoebe,sit
monica,wow wow wow make room friend sits
monica,ive pretty good
phoebe,thanks look good
monica,dangerous territory keep clean
phoebe,hows piano playing going
phoebe,ive missed
monica,know way saw drunk guy throw pigeon ate
chandler,hey ross wanted apologize looks laptop screendont tell actually made gay pictures
ross,uhu uhu check chandler sits looks laptop screen
phoebe,date
phoebe,lets hand girlfriend
phoebe,long
phoebe,three months okay probably none business uhm long think youre gon keep seeing
phoebe,okay good get home maybe therell special delivery package waiting
phoebe,know gon sex lets leave
ross,right gon talk joey think right time hes always good mood flight attendant says duty free
rachel,ross coming think would really good time talk
phoebe,woah god love things happened
rachel,well first told liked looked erm little erm eye contact
phoebe,eye contact
rachel,huh
phoebe,hope using protection
phoebe,send something back yes lets lets send mashed potatoes
rachel,wait dont gon make think come
rachel,meet guys boyfriend ababy ross
phoebe,yeah nothing happen fun know everything far eye contact
monica,chandler tell joey tulsa
rachel,thought dude couldnt get wierder
monica,know think worried getting bigger
rachel,dont know meanwhat brought
monica,god trying get pregnant hes probably starting freak fact body going change
rachel,noyou really think thats
monica,heard bigger youre perfect dont get bigger god sounded like high school wrestling coach know going talk chandler
rachel,yeah dont course bodys gon change breasts gon get biggeryour ass gon get biggeryoure gon lose bladder control starts sobbing god magical time
ross,hey
phoebe,listen wanted ask something marriage
chandler,owen didnt know adopted monica told
phoebe,still find sometime
chandler,yeah would like someone told triplets gave birth
chandler,gon tell emma accident runs
monica,yelling
monica,rachel look guys
rachel,yeah
monica,guess forgotten joey
rachel,yeah well guess forgotten joey clearly youve forgotten chandler
monica,please chandler love life point man leather pants walks oooh leather pants mercy follows man leather
ross,charlie probably gon hard leave boston huh
ross,ooh sad still cant easy leave harvard especially working alongside nobel prize winner like albert wintermeyer
ross,dated albert wintermeyer
rachel,phoebe starts walk opposite direction though rachel sees follows wha going
phoebe,sorry rachel dont time childish games still find something incredible wear beat mike whos walks away
rachel,charlie hey hey whereve
rachel,pretends stunned dres dressing room well thats weird phoebe trying clothes dressing room god small world
rachel,god heard listen let explain
rachel,pause yeah
rachel,yeah thats phoebe thats phoebe know wants like shes nympho
rachel,yeah
rachel,looks ashamed try
ross,still half asleep professor god really want keynote speaker thank hugs whilst still lap
phoebe,know
rachel,like half hour man lie sweden
phoebe,come
rachel,could tell worked
phoebe,dont tell everything
rachel,yes youre going make feel guilty getting free massage
phoebe,tips included
rachel,phoebe lie working
phoebe,ashamed sold cash give benefits like medical dental know pay price corporate stooge punching clock ugh paying taxes
rachel,phoebe honey hate much walk right quit true believe honey principles admire dont
phoebe,know right gon quit time took life back
rachel,good pheebs
rachel,alright back dont fill youve
rachel,hey popular left
rachel,well involved dont get speed
rachel,see youre alright listen job buddy okay ive five years know works dont
rachel,sits chair god youve totally messed back support chair fix
rachel,fine pushes button thing chair makes collapse alright fill
ross,hey
chandler,hey
ross,blue tie would emma spit mine
ross,know even better tomorrow wont constantly interrupted joey checking see put chocolates pillow yet someone knocks door ross goes open joey rachel chandler
joey,hey guys
ross,chocolates arent yet
joey,damnit
chandler,computer cuz love give read
ross,want check email ask chandler tries look offended
chandler,offended pause may
rachel,looking window whats rain geller mean signed dino week nobody said anything monsoon season
rachel,time charlie
chandler,laptop dear god
joey,someone outbid teapot chandler looks annoyed joey leans secret teapot
monica,hey rach
monica,youre ready birthday lunch
rachel,first monica would like introduce talented colleague importantly wonderful friend gavin mitchell
monica,please meet youre coming rachels party today
rachel,gavin cant hes already plans mostly likely mother
rachel,invite cant stand guy
monica,youre nice
rachel,faking cant tell fake
rachel,hey phillip nice suit
phoebe,isnt little part wants get
monica,little butits scary dont even know would sing
monica,delta dawn
ross,could help notice thats unusual necklace
ross,right thats firm believe keep striking
chandler,dont get neither mean youre obviously desperate youre asking women want killed
ross,great rachels gon keep kissing guys finds one wants gon die alone
chandler,drowning
chandler,well
monica,ahhh shocked
chandler,let finish everyone else however doesnt look like gon get job cant afford principles screw tickets takes tickets rachel
monica,theres man married
rachel,right believe meif win lottery last youre gon hear
monica,fine dont friends ill buy new friends yeah ill pay plastic surgery theyd look like
rachel,surprised alright know thats want share tickets picks bowl
joey,yeah want tickets takes bowl rachel buying knicks steffi graff
ross,want mine takes bowl joey win gon put lowyield bond
phoebe,guys weve got keep tickets together takes bowl ross puts table
monica,divide picks bowl get extra used card buy
phoebe,simultaneous others bleblahblar blargh
chandler,ahh merry christmas miss guys
monica,horrible everybody working really hard
chandler,well wendy
monica,wendy sounds like girls name
chandler,tell
monica,umhmm umhmm time told new years eve everybody else
chandler,send home
monica,ohh good boss pretty
chandler,uhh
ross,low voice answer faster answer faster
chandler,dont know
rachel,amy youve got stop
monica,oklisten eri know youre little bit family crisis dont take plates fact think everyone ermcut food like proceeds cut turkey drumstick midair plate see way protect plates lets face fun
chandler,noif crazy plate ladycatches midsentence monica diestheni would get emmaright
rachel,well actually
chandler,actually
ross,erits casethen ermemma would parents
joey,die get
monica,dont think sharks sexy
joey,pause wait minute little mermaid
phoebe,open
ross,hey
phoebe,hey mike called going yay yay dances around happiness
ross,yay continues happiness dancing around quick thing went talk mike
phoebe,whawhawhadid ross
ross,boy got mad part went tell great know blah blah blah ended telling
ross,umm six year long relationship guy named vicrum
monica,phoebe quantity
phoebe,wellits quality
monica,really want talk quality heard key people sing
phoebe,well least songs dont taste like garlic yeah ingredients monica
monica,thats know coffee house bopping along one songs wearing ear plugs
phoebe,ear plugs cloves garlic
monica,know take back said keep playing restaurant music driving people inside bar sales going like crazy
phoebe,people garlic martini
chandler,still lamps
chandler,didnt factor room tax
ross,dude dont worry found unattended maids car way ahead game
ross,god
joey,ooh dont know chan good remembering lines
chandler,cant believe hears well thank god livelihood doesnt depend
joey,know right chandler really big eyes nods
chandler,monica says maitre funniest guy shes ever met
joey,seriously actually said
chandler,yes crazy upset
joey,nooooo funny thing
chandler,yeah
joey,without got lame women
chandler,stops realises joey said stares moment monica enters
chandler,lots kissing neck
ross,okay well home
rachel,uch
ross,ohoh wait mother gon minute keys
rachel,alright cant cant wait long somethingknock door
ross,would bruise like peach besides yyou know everything gon fine babys sleeping
rachel,jumped basinet
ross,cant hold head yeah jumped
rachel,god left water running
ross,rach leave water running please pull together okay
rachel,leave stove
chandler,huh thats would look like worked serviced policeman youre actually going send
ross,ehactually dont need little ross dead joke didnt work responses nobody posted anything website nobody called parents joke friend nobody called nobody wrote anything nobody cares dead silence god nobody cares dead
chandler,come know thats true
ross,talking get sixty responses coming closet didnt get one response dead
chandler,well gay community lot vocal dead community
ross,cant believe even geology lab partner carried guy gets sofa
chandler,alright look lets think really think people gon stir family tragic time people gon post condolences website people caring youre dead people decent outlet grief
ross,youre right isnt decent outlet
chandler,right mean come sure funeral memorial service tons people would come
joey,guess really nervous
rachel,okay well keep mind time youre done theyll probably serving dinner
joey,ooh
rachel,still nervous
joey,gon get lasagna
ross,hey rach
rachel,yeah
ross,mind sit sec
rachel,yeah yeah sure yeah mouths good luck joey gets seat
ross,hey
joey,hey
ross,uhm kinda need talk charlie
chandler,dont think better think youre cheating think cheating silence heard
monica,dont want think affair
chandler,alright ive got plan ill fire escape
monica,yes good plans start ill fire escape
chandler,hear woman ill fire escape ill wait come back stairs itll like got back tulsa joey come see guy
monica,arent afraid joeys going figure silence heard
chandler,gon wait little
monica,scary pigeons back
chandler,huge
rachel,god cant believe live building grandmother lives building ida green sense personal space kinda smells chicken looks like potato
ross,great youre seeking make jokes mean see hanging come home
phoebe,noi really wanted know feel
phoebe,mike doesnt ever wan get married
ross,never
phoebe,never
ross,woware still going move
phoebe,want tobut want tell marriage isnt really big deal knowthat wont wont missing anything marriage stinks
ross,yeahmarriagestinks mean wan see man gain weight woman stop shaving get married
phoebe,thats really feel
ross,sorry look dont think thats wan hear right cant help love marriage
ross,called alby laughs mean thats like like calling albert einstein alby
ross,think mean went guy improved accuracy radiocarbon dating factor
ross,interested like charlie looks confused smiling sorry dont mean pry must regular people experience watch access hollywood
ross,intimidating guy nobel prize
ross,little suprised two wha dont tell dated benjamin hobart
ross,god ever relationship someone hasnt nobel prize
ross,yeah nobel prizes
ross,huh huh loser wine takes halffull glasses goes counter
phoebe,hey ross
joey,impressed wow look drops cookie stopeating hot like highest level hotness
phoebe,sure really dreading going party
joey,dont
phoebe,mike knows coming dont show hell think dont want lose face thats serious thing culture
joey,alright party pretend mike afterward come place ill get good drunk
phoebe,got wine made dont want back emergency room
phoebe,david
phoebe,god hug
phoebe,yeah whatwhat
phoebe,okay walks closes door behind looks whispers guys microphones didnt mean love
ross,haha got die die die
ross,recovers composure starts typing respectfully professor geller hits return closes laptop joins charlie sofa hey
ross,hey met
ross,yeah joey really knows art huh
ross,mean
chandler,yeah give back get job course time future ties obsolete well wearing silver jump suits
monica,enters bedroom good morning lover got say last night little weak knees
ross,heres idea walk roomtake quick scan
monica,ross sorry chandler kind feeling may made baby last night
chandler,god tell something youre pregnant
monica,talking
chandler,thing make baby faked
monica,faked
ross,know dont need tie mean better open collar know casual leaves
phoebe,joey listen cant doesnt make sense yesterday nurse today waitress cafe
chandler,computer dont know wha everythings gone
ross,wha mean goes laptop
chandler,must virus think erased hard drive
ross,god
chandler,someone dont know sent email opened
ross,would open
chandler,well didnt say virus
ross,say
chandler,nude ross looks pictures anna kournikova sorry
ross,gon speech gone chandler
chandler,gone mean sure printed copy hard copy right
ross,dont
monica,right pointing finger rachel fake
rachel,shhhhhhhhhhhhhhhhh
rachel,still cant believe invited gavin last person want see
monica,welcome party glad youre good time
rachel,god hope doesnt show course hes going show guy hates
monica,may bothers much likes like first grade skippy lang would always push playground secretly crush
rachel,monica think skippy liked honey boys fantasy knock
rachel,thanks molly walks
ross,know stands
monica,wait wait cant sing front people
phoebe,pretend theyre even monica spotlight hits bright wont see anyone
monica,monica gon singing delta dawn
phoebe,totally see shirt
monica,take mansion skyy
joey,hey need help
chandler,wow seems serious seems problem ashley judd
joey,look ill get new headshot taken right want get eyebrows shaped
joey,hey anybody gets extra tickets thing idea takes bowl monica
chandler,yeah thanks inventing lottery
rachel,thats giveem ill split tries snatch bowl joeys hands cant pinches nipple manages take
joey,pain
phoebe,takes bowl rachels hands starts running around room yelling ooooohhhhh
ross,trying stop hey hey
phoebe,keeping running yelling ooooohhhhh stops fine cant take anymore putting end goes balcony
rachel,jumps get tickets
joey,towards balcony get jammed window
phoebe,together say goodbye tickets holds bowl makes drop tickets street
phoebe,dont come closer
chandler,come little bit closer valuable things getting squished
ross,low voice answer better answer better
chandler,dont think way know shes shes colleague
chandler,shes regional vice president shes
joey,ahh wait wendy runnerup miss oklahoma
chandler,well didnt win
monica,alright well maybe let second prettiest girl oklahoma get back work
chandler,well second prettiest year mean girls oklahoma shes probably
chandler,monicas around good enough raise emma
ross,thats saying
joey,yeah hes lying looked phoebe nods agreement
chandler,whatwhat wrong incompetent managed survive whatever killed three
rachel,honey youre taking wrong way think youre going wonderful parent youre theyknow fun parent
ross,yeah wan make sure emma also someone like monica whos disciplinariansomeone firm strict
monica,thats see
phoebe,youre fun phoebe cutting food like monica told everyone
chandler,look may know alot babies really think capable
ross,noyou equally capable youre strongest youre together
chandler,emma die knocks fist table shed give
ross,sure monica would give
ross,well seemed bum hard youd never serious relationship
phoebe,walks towards ross hadnt baby best friend swear lucifer raber dog would feasting danglers right
ross,well phoebe think youll feel better know little bit vicrum kite designer makes wow face used date oprah makes another wow face
phoebe,going along lie made ross gon honest
ross,good yeah honest
phoebe,yeah ive nothing ashamed havent relationship lasted longer month havent real boyfriend know cant handle leave thats ill alone forever know alright ill itll fine itll fine ill walking tours widows lesbians takes deep breath sits knock door
ross,ill get
phoebe,huh yeah stands theres something umm theres something know pause vicrum called
ross,theres something new bowl
chandler,look enough walk away
ross,wanti want pinecones
chandler,theres forest right outside
chandler,quick
ross,receptionist thank delightful stay
ross,maple candy
phoebe,singing food javuwill kill youthe food javu kill
monica,thank god thought someone swinging bag cats wall
phoebe,youd better get back kitchen monica garlic gon overuse
joey,sees monica fire trucks chandlers eyes double size turns monica doesnt understand whats happening turns back joey says youre welcome without sound
phoebe,oof
phoebe,wait wait
phoebe,sit couch uhm remember asked seeing someone said well uhm name mike
phoebe,yeah told
phoebe,sorry sorry
phoebe,happy
phoebe,well david want know know telling one hardest things ive ever
phoebe,course yeahthey hug phoebe sighs little also david sighs makes way door know kiss cheek wouldnt totally inappropriate
ross,never cooked since actually rachel cooked tow ross got high first aired
rachel,window open theres window open bird could fly
ross,god know yeah think youre right think listen listen
rachel,ubb
ross,pigeon pigeon previously scared rachel turns away wait nono eagle flew landed stove caught fire baby seeing jumps across apartment mighty birds aid eagle however misconstrues act aggression grabs baby talon meanwhile faucet fills apartment water baby bird still lays locked death grip swirling around whirl pool fills apartment
rachel,boy gon sorry thats true
joey,maybe eat
joey,whaa another table leaves right theres still food left place okay whats restaurants policy people eatin
ross,exactly sits back laptop starts typing
chandler,ross whatre whatre looks laptop screenyoure memorial service
ross,would stupid youre
chandler,ross dont press send dont press
ross,late late sent oops sorry picture police man
rachel,trying put emma nap seen hugsy
joey,original crappy
rachel,original
joey,sorry havent seen
rachel,whats big lump covers
joey,monica
rachel,thats monica
joey,alright fine original hugsy know emma wants hes mine need
joey,yeah
ross,okay last night guys broke sorry hear way well charlie talking well
joey,kissed
ross,wha gasps would give idea
joey,saw
ross,yeah kissed nothing else nothing else happened okay
joey,ross ross ross okay
joey,okay know totally understand alright guys make way sense ever know want happy
ross,serious
joey,yeah something
ross,speachless mean fact would put happiness first like mean youre incredible friend know
rachel,yeah thats muppy
phoebe,yeah sorry werent really looking anything happen guys boyfriend
rachel,complicated dont actually boyfriend erm
rachel,sorry
rachel,sure
phoebe,god youre giving real number
rachel,great gives thumbs
phoebe,wow thats great bill ross emma going happy together thinking
rachel,dont know cute liked impulse
phoebe,seriously divorco
ross,call name prefer ross divorcer cooler looki know marriage isnt exactly work love committed another person caroline good times became lesbian afterward sorry
phoebe,thats feel
ross,come mean living together great mean guys much funand love mike
phoebe,love mike
ross,yeah see excited moving together know big deal
phoebe,yeah guess youre right yeah thanks helped thanks
ross,divorcer rescue
phoebe,cooler
ross,yeah hurt
joey,rach
ross,sarcastically great finish wine going blow averagesized brains
phoebe,whats matter
ross,dates geniuses nobel prize winners god chinese restaurant earlier today put chopsticks mouth pretented woolly mammoth
rachel,always loved
ross,course would brains smaller mine rachel nods man cant compete guys goes league god
phoebe,worse
ross,much much worse impression joan rivers one earliest amphibians gestures hands says impression voice walk phoebe starts laughing like
phoebe,still laughing points rachel stuck two straws mouth look like mammoths tusks
ross,turns around look rachel
rachel,come think funny ross leaves
chandler,yes god yes
phoebe,happened
phoebe,yeah
phoebe,well great youre back
phoebe,good
phoebe,disappointed good
phoebe,mike broke
phoebe,really
phoebe,understand yeah living new york seeing anyone thats like
ross,perplexed moment wait minute guys walked met right
ross,shaking head joey joey still mean seems like guys great time together
ross,mean little
ross,slowly yeah know think give joey chance mean hes great guy sure doesnt know much art know always talk someone else
ross,think mean reason memorized stuff thought important know thats kind guy joey
ross,going next argument
joey,hey
joey,sometimes use extras different parts okay
phoebe,well okay gave memorable performance nurse suddenly waitress thats gon confuse fans
joey,maybe nurse moonlight waitress
phoebe,uhuh single mother supporting two children
joey,nice
phoebe,wait minute drake ramoray work hospital wouldnt come say
joey,see drake fight
joey,slept never called
phoebe,wanted new daddy davy becky
phoebe,yeah well angry slept never called back
chandler,well must pretty mad right
joey,really gone
ross,yep like thank guys coming complain rain ruin career
chandler,feel awful
ross,yeah well mean nude pictures anna kournikova mean shes never even major tournament
chandler,well tried billy jean king ross glares know monica gon kill look usually make away kissing ross continues glare chandler leans hes going kiss ross
ross,get chandler runs
rachel,know happens time computer work
ross,well
rachel,well usually play tetris somebody elses computer
ross,cant believe cant believe happening give keynote speech tomorrow stand front people gon say
rachel,see guys see
monica,wouldnt get bed vodka
joey,hey rach sing happy birthday
rachel,yes sure
joey,alllright happybirth saw molly opens door followssee later
monica,hey rach somebody got shoes
rachel,give opens boxwowarggggshe throws box away god
phoebe,careful theses rat babies
rachel,grrr brought rats birthday party
monica,sitting straight looks like paralysed stroke feels like
phoebe,bring killed mother responsibilities know require constant care rachel youre mother
chandler,sorry moment make fun please
joey,may sissy ill still pound ground right hurts bad could let one
chandler,like baby caterpillar chasing mama
joey,right look got help look magic marker want fill skinny one
chandler,first green
joey,hell supposed
chandler,right help promise tell anyone tell
chandler,know kids get allowance mowing lawn taking garbage well earned mine
joey,god
chandler,yeah well guess dont need help victor victoria
phoebe,whats important friends money
monica,money look friends
phoebe,hey monica extra tickets
monica,theyre even five hid bra takes tickets bra gives phoebe
ross,monica
phoebe,good pause guys scared way gon dump thisa pigeon swoops scaring phoebe drops bowl street god pause think broke bowl
phoebe,beautiful night running around street looking tickets wind sure made fun
monica,phoebe lost half
phoebe,monica winning ticket psychic said gon win remember
rachel,interrupting chandler stop talking
chandler,honey theres really nothing worry
monica,okay
chandler,serious
monica,okay
chandler,merry christmas
monica,merry christmas
chandler,merry christmas guys
phoebe,simultaneous others blah blargah blarblab
chandler,hanging phone wife says
chandler,well shes got weird idea yknow alone something gon happen
chandler,probably wrong thing worrying youre getting ham tie
joey,lie better right phoebe gives joey course look
chandler,soso let get straight two friends die get emma wife dies emma onetinyrayofhope left life gets taken away
monica,heythere disappeared dinner
chandler,somebody miss child raise poorly
monica,ross rachel dont know theyre talking mean like theyre responsible emma product bottle murlo fiveyearold condom
chandler,yknow theyre right strong fatherfigure never
monica,noyou learn things grow
chandler,yeah everything said exactly worried kid true look everybody knows
monica,dont know want kid think youre going amazing dad fun parts hard parts
chandler,yeah well picture saying room youre grounded
joey,huh sure yeah remember
joey,could remember slept together
joey,dunno
joey,come come search brain right thinks certain amount time ago sex starts pointing places anything
joey,god woman many people remember
joey,ooooooooooh slept obviously remember hey still got turns back hayley good glares ill let
phoebe,said vicrum cant call every time get lonely know gave right slept rachel
phoebe,yeah well pause yeah know emmas birth certificate might say geller eyes say mookurgee
monica,stop playing
phoebe,person playing bothering
monica,yeah lets settle come
phoebe,monica drags restaurant get garlicpeelers
monica,restuarant customers excuse excuse monica gellerim head chef pauses waiting something actually expecting little applause whatever quick question show hands many bothered womans singing outside people raise hands
phoebe,many enjoyed music outside people raise hands
monica,alright let ask question many thought music fine keeping tone restaurant raise hands
phoebe,well identified tone restaurant pretentious comma garlicky
monica,thinks food delicious little pretention never hurt anyone raise hands
phoebe,well alright thinks food fine music fine evening ruined incessant poll taking raise hands
monica,excuse phoebe alright heres question worried restaurant fancy made big deal friend playing music feels really bad raises hand
phoebe,ohwho stupid stubborn lashed friends cooking actually thinks pretty great raises hand
phoebe,mean david kisses phoebe cheek makes way door turns around
phoebe,yeah
phoebe,well thats minsk kiss cheek pause david turns door new york david grabs neck kisses full lips kiss passionately seem stop
rachel,tearful voice boy turns around sees ross
ross,worried everything allright
rachel,yeah fine fine sandy telling proposed fiance sooo beautiful
rachel,cant cant hear
ross,fine never heard rachel looks ross say manner rach see sec
joey,happens waiter leaves got bathroom
phoebe,cant nonono cant hold table ask move cave
joey,ask stay ill pee leaves
phoebe,okay fine ill move alright dont manhandle gets points smaller table okay thank wach
joey,returns old table elderly people sitting sits finally guys made looks turns left phoebes chair pheebs helluhuhh
monica,spend time tie thatll make baby
chandler,look cant cant make luv fighting way
monica,sure youre mister sensitivity wanted sex right uncles funeral
rachel,god
joey,shes unreasonable
rachel,yelling joey reason emma loves stupid penguin much joey covers hugsys ears dont cover ears stops yelling reminds uncle joey
rachel,yeah shes comforted loves uncle joey much
joey,really loves
rachel,yeah know need hugsy dont worry emma totally understand wont whatever leaves room
joey,wait wait wait wait minute wait minute mean rach mean hugsy means much emma well
rachel,oooh youre sweet knew uncle joey would step turns face emma playpen look emma look whos baaack
joey,look forget forget cant
joey,look
ross,mean loyal man selfless generous
joey,things yeah
ross,know know chandler longer always think best friend may rethink stuff
joey,dude
ross,hey ever anything
joey,cant think anything
ross,thanks
joey,yeah
phoebe,ross moment dont want talk ross
rachel,cos know exactly conversation going hey ross know think moment ross yeah well sure really wan anything ross yeah neither ross continue live together really tell really feeling ross yeah works
phoebe,yeah see mean way nice ross imitation rachel whiney enough
rachel,hey
phoebe,better
rachel,point maybe stop waiting around waiting moments ross move life
phoebe,really moving ross
rachel,dunno decide right
phoebe,kinda guys gon call tonight ross going pick phone thats pretty clear message
joey,rachel
joey,cant anything like
chandler,hey rach ahperfection kisses monica wouldnt change thing thing
monica,honey
chandler,yeah
monica,ermim going change
chandler,honey dont
monica,going get bigger
chandler,honey love breasts way
rachel,argh
monica,well breasts going get bigger weather like know breasts ass going get bigger
chandler,dont know seem lovely
joey,hey ross one costars dirk dirk dirk good friend ross ross dirk shake hands
ross,nice meet
ross,actor professor palaeontology
joey,science
joey,hey ross listen dirk wondering woman brought guys together
ross,well mean goes really really smart guys
ross,lead
phoebe,well pause
phoebe,love
phoebe,walk away together
phoebe,got stay upwind
rachel,thats david
rachel,disapprovingly tip iceberg
chandler,sure dont wan stick around little longer
chandler,tired always tired cause could sign clinical depression
ross,hey
joey,charlie youre ready
joey,aside ross hey ross art stuff worked hooked
ross,glad could help man
joey,although stuff wasnt said gon confidently made work
chandler,picking plastic cup similar one deposited specimen okay aroused
chandler,hello doctor connelly pause shes know tell sitting smile fades hears answer pause well mean pause thank thanks hangs
monica,hey sweetie
chandler,doctor connelly called
monica,good news quickly wringing hands course good news said deadpan doctor connelly called good news would said excitedly doctor connelly called problem problem
joey,calm means show need new extras around
rachel,yes emma came little early research presentation actually made changes think caught everything ask anything
rachel,except zelner enters hello zelner ready presentation afternoon
rachel,cant baby ross gon pick another hour
rachel,well win win get presentation youll knock dead one ever remember worked ralph buy helicopter super gavin fly right along side
rachel,cant baby
joey,could teach speech memorized auditions
ross,dont think monologue star wars gon help right joe
ross,wha really think
joey,hey dont worry mean ross needs rachel stay help anyway
rachel,ugh
ross,alright lets ross sits desk gather around know start discussing shortcomings carbon dating move clearly defining moment mesozoic era breakup pangea hello rachel joey look confused theres theres overview triassic
joey,chance happened galaxy far far away ross turns aroud glares joey rachel decide leave
monica,mike enough enough love phoebe loves need get whole never want get married thing step
rachel,youre comparing daughter rat
phoebe,seven rats turns mike think take home need feed
rachel,going leave party take care box rats
phoebe,sorry rachel like everyone could afford help
ross,chandler hey hell joey molly asked watch
chandler,helium voice sorry got little preoccupied
ross,look stop something happenes
chandler,helium voice right behind big guy
joey,see molly people dont understand acting discipline takes lot hard work
joey,right need help chandler dont know take anymore
chandler,combination ice cubes aloe vera gentle selfloathing touch
monica,take mansion skyy sorry song see
phoebe,every little bit
monica,cant believe cant believe singing people liked hey hear
phoebe,mon didnt sound good
monica,good didnt hear themi great thank much making thats best gift ever
ross,whats great dont mind talking
ross,weird psychic didnt mention anything scary pigeon
phoebe,matter fact said thats going die pause excuse little skittish
chandler,looking answering machine hey theres two messages could work
monica,play
chandler,pushes play button
phoebe,well bet hard
chandler,isshhh
monica,god sorry honey
chandler,whoaho back missy takes step back still keeps grip tie
chandler,dont know used girls making passes lets tie wait minute sexy oklahoma
chandler,flattered realizing quickly gets several steps away look married
chandler,happily married
chandler,right sorry
chandler,well look easy spend much time apart know shes entitled little paranoid case right money know shes amazing beautiful smart right shed kick ass look youre really nice person ham stealing adultery aside wife pretty great nothing ever gon happen
chandler,mean beautiful woman room tonight
monica,hear say youre grounded
chandler,said last week
monica,hard shoes furniture
joey,argh producer days life left message machine asking wasnt parade say everybody pissed got meet santa whining
phoebe,thought perfect lie easy remember doesnt invite alot questions werent parade family emergency
joey,ohi like yeah wasnt parade family emergency
phoebe,ooowhat happened
joey,ermy sisters raccoon came
monica,whawait
joey,setting table
phoebe,know calls heart goes know bastard one smooth talking free lance kite designer
phoebe,cant
phoebe,well vicrum ross made never really longterm relationship ive never lived guy ive never even celebrated anniversary pause thats weird wan leave totally understand fact ill close eyes make less awkward sits eyes closed mike kisses phoebe opens eyes like little child says kissed
phoebe,dont think total freak
phoebe,guess think cool kiss also wan kiss get closer kiss phoebe pulls back umm little concerned magic markers
monica,sorry
phoebe,sorry hug
monica,ooohh hey wan stick around ill whip dinner
phoebe,yeah long free food ridiculously overp
phoebe,smiling raising hand whos hoping hand raising thing still cute enough wont hate
rachel,hey
joey,hey
rachel,joey peanut butter back head
joey,touches back head licks fingers man thought got
rachel,looks puzzled howhow
joey,making peanut butter smoothy right
rachel,yeah sandy excuse walks kitchen ross sighs
ross,realise man cried apartment three times huh havent cried many times since moved
rachel,look ross hes sandy sensitive thats
ross,picks cookie okay okay see problem sensitive takes bite cookie
rachel,sensitive take care baby
ross,speaking mouth full yeah mean things guy looks cookie amazing
rachel,sandy made madeleines
ross,exactly talking kind guy makes makes delicate french cookies huh theyre even butch manly cookies know chunks takes careful bite cookie
rachel,well know iii dont know say mean never thought guy needed men men know cause got tell ross like came branding cattle
chandler,celebration life alright look gon alright really way want baby conceived
monica,youre right mnya shouldnt like huch worth sorry shouldnt come hard smoking cigarettes end world
chandler,mean
monica,yah
chandler,incredible unless iim gon smoke promise hide much better kiss
monica,dyou want
chandler,yeah lets celebrate life
monica,kay
rachel,och god seeing emma thank god youre okay sorry left mom never gon leave never ever ever uch
rachel,gon youre going take hugsy away little child
joey,think got first place
monica,alright two gon bathroom dont want anything going gone heres things discuss mucus fungus idea ross
phoebe,know want going make hard
monica,running back room kiss fool
